,v,vw,o,c,h,l,t,n
0,2566185.0,179.1315,173.94,181.48,181.64,173.52,1600315200000,34002
1,2934717.0,181.0833,182.58,179.2,184.0,179.03,1600401600000,30625
2,1630839.0,174.5103,176.16,175.56,176.57,171.63,1600660800000,29100
3,1378326.0,178.0408,176.26,179.86,180.365,174.94,1600747200000,23671
4,1319391.0,176.6145,179.43,174.78,180.2446,174.16,1600833600000,18870
5,1182562.0,173.2633,174.0,172.43,175.5,171.73,1600920000000,20919
6,2412101.0,173.7912,171.71,175.0,175.92,170.5,1601006400000,32326
7,1565131.0,178.2809,177.47,178.56,180.1,176.805,1601265600000,21856
8,1031047.0,178.0928,179.18,177.5,179.469,177.16,1601352000000,17614
9,1401168.0,178.3285,178.02,177.58,180.65,175.55,1601438400000,22136
10,1131264.0,179.0018,179.11,179.24,182.6,176.71,1601524800000,20495
11,1281735.0,178.1337,175.93,178.43,180.15,175.2,1601611200000,18683
12,1248455.0,177.0712,181.29,176.52,181.29,174.82,1601870400000,21858
13,1042702.0,177.3537,176.9,174.92,180.21,174.52,1601956800000,17425
14,810971.0,176.6152,176.65,176.81,177.67,175.52,1602043200000,15374
15,1016526.0,180.6044,177.46,181.55,181.69,177.45,1602129600000,16160
16,1083816.0,183.7066,182.76,183.78,184.86,182.255,1602216000000,16324
17,1633911.0,183.0697,184.48,183.14,184.935,181.86,1602475200000,18440
18,894144.0,181.3001,183.11,180.03,183.75,179.75,1602561600000,14535
19,1248234.0,177.3589,180.58,177.19,181.31,175.75,1602648000000,19545
20,2284541.0,174.8678,175.16,176.02,176.37,173.33,1602734400000,28674
21,1351181.0,177.6192,176.88,177.06,179.94,176.84,1602820800000,20833
22,1321307.0,173.3948,177.26,171.97,177.91,171.42,1603080000000,18391
23,1308439.0,175.0659,172.82,174.3,176.65,172.13,1603166400000,19652
24,1148115.0,174.4782,174.0,174.0,176.39,173.43,1603252800000,16077
25,1205107.0,174.7956,174.55,175.92,176.86,170.95,1603339200000,19214
26,1350115.0,176.8577,177.77,176.99,177.9,175.81,1603425600000,18933
27,1485974.0,170.022,174.55,168.8,174.55,167.72,1603684800000,18621
28,2369610.0,165.9124,168.75,164.76,169.6,164.43,1603771200000,25480
29,2471161.0,160.3474,162.0,159.1,163.25,158.41,1603857600000,30401
30,3430039.0,157.1871,154.0,156.17,161.16,154.0,1603944000000,40163
31,3191222.0,156.5604,155.33,157.74,157.81,153.33,1604030400000,30114
32,2771595.0,160.4216,159.91,160.36,162.13,158.55,1604293200000,27671
33,2124520.0,164.7028,162.1,165.9,166.33,161.26,1604379600000,28491
34,2267649.0,171.2911,169.0,170.86,173.4795,168.12,1604466000000,29104
35,1383277.0,174.402,173.88,174.24,176.11,172.53,1604552400000,19205
36,1119876.0,173.9523,173.89,173.88,174.98,172.25,1604638800000,17409
37,4895714.0,194.686,189.49,193.66,199.69,189.3,1604898000000,52067
38,2717835.0,193.7963,193.45,193.47,196.02,191.43,1604984400000,30120
39,1983291.0,189.7796,195.06,189.28,195.09,186.55,1605070800000,25934
40,1884108.0,184.3752,188.7,184.43,188.7,181.82,1605157200000,23431
41,1863501.0,188.2979,185.47,188.41,190.19,185.47,1605243600000,23940
42,2275791.0,190.9809,190.0,189.94,194.25,189.3016,1605502800000,23353
43,1822338.0,188.3521,188.79,189.83,190.26,185.71,1605589200000,24221
44,1269602.0,189.2592,190.18,187.92,192.13,187.73,1605675600000,14944
45,1353545.0,189.372,187.44,190.55,191.76,184.5,1605762000000,18672
46,1547321.0,191.1798,191.61,190.7,192.89,189.14,1605848400000,18765
47,1341829.0,191.5623,192.54,192.15,193.67,189.5201,1606107600000,18310
48,2007192.0,197.2245,193.83,198.83,199.04,192.3,1606194000000,23705
49,1312728.0,196.6889,197.12,197.01,198.36,194.74,1606280400000,17000
50,679430.0,196.9179,198.0,197.03,198.0,195.78,1606453200000,8191
51,1591634.0,194.5025,196.03,195.19,196.8,191.27,1606712400000,18765
52,1369201.0,197.0069,197.29,195.98,198.73,195.53,1606798800000,16299
53,1143018.0,194.8701,195.0,195.38,195.79,193.21,1606885200000,15157
54,934502.0,195.9317,195.29,195.75,197.375,193.87,1606971600000,12074
55,1135645.0,199.2593,196.64,200.07,200.09,195.99,1607058000000,14623
56,990480.0,199.2394,198.88,199.23,200.345,198.25,1607317200000,11161
57,1273792.0,197.942,197.99,198.58,198.7,196.7769,1607403600000,14667
58,1698280.0,196.7409,199.0,195.66,199.0,195.35,1607490000000,20166
59,1360310.0,195.0131,194.49,194.17,197.03,192.91,1607576400000,19906
60,1118977.0,192.4688,192.35,192.06,194.7072,191.52,1607662800000,16751
61,1220744.0,193.7146,193.3,191.88,196.55,191.78,1607922000000,20014
62,1831634.0,193.2263,192.43,193.57,194.44,191.32,1608008400000,21727
63,1151409.0,194.1656,193.37,194.67,195.475,192.04,1608094800000,14978
64,1363644.0,195.7828,195.35,195.42,197.46,195.32,1608181200000,16845
65,2832995.0,195.7132,195.01,196.33,197.31,193.56,1608267600000,18514
66,3839964.0,202.9039,203.89,200.42,209.66,199.99,1608526800000,42176
67,2230445.0,198.6526,200.52,197.83,200.78,196.875,1608613200000,24501
68,1340553.0,199.5767,198.76,200.26,200.92,196.92,1608699600000,17041
69,961777.0,204.4095,200.19,205.55,205.92,200.19,1608786000000,12393
70,2033315.0,208.7169,206.48,208.98,209.89,206.379,1609131600000,26603
71,2671623.0,209.7083,210.0,209.77,211.12,208.57,1609218000000,30664
72,1562461.0,210.8647,210.73,210.14,213.4,210.02,1609304400000,19159
73,1231428.0,213.7863,210.08,215.42,215.7,209.7301,1609390800000,16789
74,2173974.0,208.2946,215.08,207.22,215.51,204.04,1609736400000,28169
75,1245200.0,206.1582,207.0,205.36,209.3,205.11,1609822800000,17519
76,1495861.0,208.9072,205.86,207.33,212.28,205.08,1609909200000,22658
77,1101534.0,208.485,207.83,208.12,210.43,207.18,1609995600000,15956
78,1542924.0,206.7947,208.12,206.32,210.39,205.045,1610082000000,20345
79,1196470.0,202.2606,203.98,201.27,205.45,200.72,1610341200000,19063
80,1254932.0,200.056,200.89,200.54,202.1,197.36,1610427600000,18788
81,1168832.0,200.2518,200.74,199.05,201.96,198.95,1610514000000,16731
82,2159805.0,194.9765,200.12,194.0,200.18,193.54,1610600400000,25520
83,2111250.0,191.2948,192.96,191.38,193.73,189.18,1610686800000,24238
84,2061404.0,189.3664,192.4,187.75,193.62,187.68,1611032400000,24793
85,2770837.0,190.2811,189.47,190.74,192.5,187.62,1611118800000,32816
86,1485220.0,190.128,191.11,189.26,191.8945,189.06,1611205200000,20799
87,2076015.0,187.9092,187.39,187.52,188.98,186.09,1611291600000,20919
88,1851061.0,185.1226,186.89,185.08,188.41,182.5,1611550800000,26083
89,2028290.0,186.265,185.77,186.34,188.71,184.85,1611637200000,21020
90,3071127.0,178.6297,183.24,177.58,183.24,176.245,1611723600000,32624
91,2664241.0,183.3499,179.57,182.25,185.06,179.57,1611810000000,29923
92,2649887.0,178.2557,182.3,176.52,183.14,175.59,1611896400000,28526
93,1678885.0,181.6062,178.51,182.91,183.03,178.51,1612155600000,22267
94,1804759.0,190.5653,185.9,190.77,192.645,185.445,1612242000000,23683
95,2239160.0,193.6745,190.5,194.01,194.91,188.81,1612328400000,26637
96,1700073.0,197.6414,195.52,197.88,199.72,195.01,1612414800000,22211
97,1494244.0,198.4074,199.02,198.27,200.79,197.03,1612501200000,21662
98,3452893.0,200.0783,202.25,200.33,206.85,196.6341,1612760400000,37550
99,1583740.0,202.5125,197.6,203.28,204.91,197.6,1612846800000,23187
100,1910014.0,203.4528,203.74,202.23,204.955,201.82,1612933200000,25848
101,1722278.0,199.9496,201.73,199.64,202.91,198.45,1613019600000,22438
102,1662389.0,196.8823,197.57,197.18,199.135,195.31,1613106000000,21965
103,1537849.0,196.2546,198.07,196.7,198.4,194.38,1613451600000,21542
104,2290452.0,193.5277,196.0,192.85,196.0,192.1605,1613538000000,26699
105,1333208.0,193.7517,191.74,193.72,196.1961,190.58,1613624400000,19088
106,2065222.0,194.632,194.51,194.18,196.14,193.2,1613710800000,20149
107,2544122.0,195.8845,192.34,196.06,199.08,191.09,1613970000000,27039
108,2496461.0,196.7482,196.39,197.9,200.19,193.49,1614056400000,33691
109,1779893.0,203.2163,197.82,204.27,205.88,196.67,1614142800000,28050
110,2216987.0,200.6759,203.17,199.39,204.3,197.88,1614229200000,32458
111,1630628.0,199.0039,200.5,197.99,201.46,196.0,1614315600000,22022
112,1838028.0,201.432,201.18,202.18,202.6884,199.43,1614574800000,22308
113,1964347.0,202.9108,202.14,202.1,205.34,201.32,1614661200000,25853
114,1255212.0,201.4054,201.38,200.79,202.66,200.615,1614747600000,23268
115,2171473.0,196.746,200.54,194.54,201.14,192.66,1614834000000,37359
116,1535473.0,196.3689,196.72,198.29,198.99,192.79,1614920400000,29351
117,2321063.0,203.8537,199.16,203.33,207.64,198.42,1615179600000,37751
118,1705217.0,207.3268,205.74,205.17,210.28,205.06,1615266000000,28671
119,1724877.0,208.2205,206.05,209.56,210.25,205.1,1615352400000,27693
120,2437011.0,210.8105,210.93,209.86,213.0,209.49,1615438800000,25715
121,1680343.0,213.343,209.37,215.06,215.16,209.04,1615525200000,27495
122,1145026.0,214.861,214.21,215.55,216.49,212.97,1615780800000,20234
123,1290166.0,214.5589,216.29,215.43,216.29,212.34,1615867200000,24835
